kahani_cache_dev__id,kahani_cache_dev__title,kahani_cache_dev__description,kahani_cache_dev__image_url,kahani_cache_dev__bpp_id,kahani_cache_dev__unique_id,kahani_cache_dev__bpp_uri,kahani_cache_dev__item_id,kahani_cache_dev__credits,kahani_cache_dev__instructors,kahani_cache_dev__provider_id,kahani_cache_dev__provider_name,kahani_cache_dev__code,kahani_cache_dev__competency,kahani_cache_dev__contentType,kahani_cache_dev__domain,kahani_cache_dev__goal,kahani_cache_dev__language,kahani_cache_dev__link,kahani_cache_dev__sourceOrganisation,kahani_cache_dev__themes,kahani_cache_dev__minAge,kahani_cache_dev__maxAge,kahani_cache_dev__author,kahani_cache_dev__learningOutcomes,kahani_cache_dev__category,kahani_cache_dev__persona,kahani_cache_dev__license,kahani_cache_dev__conditions,kahani_cache_dev__urlType,kahani_cache_dev__mimeType,kahani_cache_dev__offeringInstitute,totalCount,translated_title
4263,Sizzling chilli,Sizzling chilli,https://storage.googleapis.com/resources-videos/images/Chilli%20Farming.png,sandbox.onest.network/adaptor-bpp/smartlab,145474945c1319392ac55f715df67c4560ba8e55fba35fe8704d6754aceb3b74,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,300,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,57.0,Sizzling Chilli
4277,Jojoba Farming,Jojoba Farming,https://storage.googleapis.com/resources-videos/images/Jojoba.png,sandbox.onest.network/adaptor-bpp/smartlab,95aebcb60ac46d32e4bd3fb6dbe136be35a49786f218592ff4bc7ec122094db1,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,303,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Jojoba Farming
4264,Wheat,"Wheat (Triticum aestivum L.) can be divided into two distinct growing seasons: winter and spring. The crop is classified as either “spring” or “winter”, depending on when the seed is planted and when it germinates. Farmers choose the type of crops to grow based on the weather and soil conditions in their area",https://storage.googleapis.com/resources-videos/images/wheat_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,3e939abc74edde23ed6a193a6b7e82a764d769b26cb28573e3f84159c500c45d,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,281,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Wheat
4510,PMJJBY & PMSBY Scheme,"The Pradhan Mantri Jeevan Jyoti Bima Yojana and Pradhan Mantri Suraksha Bima Yojana are government-backed life and accident insurance schemes with very low premiums, intended to increase access to insurance coverage among the unbanked and underbanked populations.",,kahani-bpp.tekdinext.com,d3326a6db77d477b523a8be9c4c7892f82f6bd8867bf6a329a3b1d31bf6a6600,https://kahani-bpp.tekdinext.com/,1058,,,144,Haqdarshak,,,,,,,https://youtu.be/slzYksdnqWg,,,,,,,,,,,,video/x-youtube,,,Pmjjby & Pmsby Scheme
4520,Solar Rooftop Scheme,"This scheme promotes the generation of green energy through the installation of solar rooftop systems on residential, institutional, and commercial buildings, offering financial incentives and subsidies to reduce the initial installation cost.",,kahani-bpp.tekdinext.com,c85ff05a84f14d80bde4db210707bbd97d8701debe3f4c321c6fbadfb55899f2,https://kahani-bpp.tekdinext.com/,1057,,,144,Haqdarshak,,,,,,,https://youtu.be/o0aaB_k77_o,,,,,,,,,,,,,,,Solar Rooftop Scheme
4265,Brinjal,"Brinjal is a hardy crop than other vegetables. Due to its hardness, it can be successfully grown in dry area with low irrigation facilities. It is moderate source of Vitamins and minerals. It can grow throughout the year.",https://storage.googleapis.com/resources-videos/images/brinjal_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,91eb06c28b266038d86378e63a1fef73d4c1ff0d7e8d0c4c0d40bb03acb8987b,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,244,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Brinjal
4267,Barley,"Grown in a variety of environments, barley is the fourth largest grain crop globally, after wheat, rice, and corn. Barley is commonly used in breads, soups, stews, and health products, though it is primarily grown as animal fodder and as a source of malt for alcoholic beverages, especially beer.",https://storage.googleapis.com/resources-videos/images/barley_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,3e6a8af0a4a202c28716ae26bba3741a26efdb3b7c2fadf6050506973044a96d,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,283,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Barley
4515,NSAP Scheme,"The National Social Assistance Programme provides financial support to the elderly, widows, and persons with disabilities in the form of pensions and other assistance, ensuring a minimum national standard for social assistance in addition to the benefits that states are currently providing.",,kahani-bpp.tekdinext.com,2a240ba5f63a5b87ba1d5330801004af5fbf32425210a0b780b5a5bbb29439ad,https://kahani-bpp.tekdinext.com/,1054,,,144,Haqdarshak,,,,,,,https://youtu.be/QO9G9EGDn80,,,,,,,,,,,,,,,NSAP Scheme
4269,Eco-friendly farming,Eco-friendly farming,https://storage.googleapis.com/resources-videos/images/Eco%20India.png,sandbox.onest.network/adaptor-bpp/smartlab,99a40391a273d279bcfa86f4b41cd77b1b75de8e01183d1fffff4c45878edfab,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,309,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Eco-friendly farming
4275,Wheat,Which fertilizer should be applied in wheat crop and why should it be applied,https://storage.googleapis.com/resources-videos/images/grains_wheat_5.jpg,sandbox.onest.network/adaptor-bpp/smartlab,aadc465485ccd0eb3c991cbf575a94f10a9476e4d810b3d65fc8899474d069d3,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,320,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Wheat
